RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Easting,Northing
01,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,	PH152EB,286580,749680
02,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,	AB389PJ,326340,842570
03,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,	AB55LI,352960,839320
04,Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,	PA427EB,141560,646220
05,Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,	AB544NH,355350,829140
06,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2,KA278HJ,194050,649950
07,Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,G814SJ,247670,672610
08,Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,	AB553XS,340754,848623
09,Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,	AB553QY,340754,848623
10,Balblair,2,3,2,1,0,0,2,0,2,1,2,1,	IV191LB,270820,885770
11,Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,	PH263PF,307750,827170
12,Belvenie,3,2,1,0,0,3,2,1,0,2,2,2,	AB554DH,332680,840840
13,BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,	PH336TJ,212600,775710
14,Benriach,2,2,1,0,0,2,2,0,0,2,3,2,	IV308SJ,323450,858380
15,Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,	AB389NN,325800,839920
16,Benromach,2,2,2,0,0,2,2,1,2,2,2,2,	IV363EB,303330,859350
17,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,	DG89AB,242260,554260
18,BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,	PH165LY,294860,757580
19,Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,	PA437GS,131330,659720
20,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,PA497UN,126680,661400
21,Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,PA467RR,142210,673170
22,CaolIla,3,1,4,2,1,0,2,0,2,1,1,1,	PA467RL,142920,670040
23,Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,	AB387RY,318790,843090
24,Clynelish,3,2,3,3,1,0,2,0,1,1,2,0,	KW96LB,290250,904230
25,Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4,AB389ST,328920,844920
26,Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2,AB379AB,316600,836370
27,Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,	AB387RE,323520,841010
28,Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,	IV170UT,266610,868730
29,Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,	PH191AB,263670,785270
30,Deanston,2,2,1,0,0,2,1,1,1,3,2,1,FK166AG,271570,701570
31,Dufftown,2,3,1,1,0,0,0,0,1,2,2,2,AB554BR,332360,839200
32,Edradour,2,3,1,0,0,2,1,1,4,2,2,2,PH165JP,295960,757940
33,GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1,AB43JT,372120,860400
34,GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3,IV303SL,322640,861040
35,GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2,AB510ES,381020,827590
36,GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1,AB387BS,327610,849570
37,GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1,AB553BU,340754,848623
38,GlenMoray,1,2,1,0,0,1,2,1,2,2,2,4,IV301YE,319820,862320
39,GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2,IV67UJ,251810,850860
40,GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1,PA286DS,172090,621010
41,GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2,AB387AU,327760,849140
42,Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2,AB389LR,326490,841240
43,Glendronach,4,2,2,0,0,2,1,4,2,2,2,0,AB546DA,361200,844930
44,Glendullan,3,2,1,0,0,2,1,2,1,2,3,2,AB554DJ,333000,840300
45,Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2,AB379BD,320950,838160
46,Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2,AB554DH,332680,840840
47,Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2,G639LB,252810,682750
48,Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2,EH345ET,344380,666690
49,Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3,AB379DB,319560,828780
50,Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2,IV303SS,322640,861040
51,Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2,IV191PZ,276750,883450
52,Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0,AB387AA,327650,849170
53,Glenturret,2,3,1,0,0,2,2,2,2,2,1,2,PH74HA,285630,723580
54,HighlandPark,2,2,3,1,0,2,1,1,1,2,1,1,KW151SU,345340,1009260
55,Inchgower,1,3,1,1,0,2,2,0,1,2,1,2,AB565AB,342610,863970
56,IsleofJura,2,1,2,2,0,1,1,0,2,1,1,1,PA607XT,152660,667040
57,Knochando,2,3,1,0,0,2,2,1,2,1,2,2,AB387RT,319470,841570
58,Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0,PA427DZ,140430,645730
59,Laphroig,4,2,4,4,1,0,0,1,1,1,0,0,PA427DU,138680,645160
60,Linkwood,2,3,1,0,0,1,1,2,0,1,3,2,IV303RD,322640,861040
61,LochLomond,1,1,1,1,0,1,1,0,1,2,1,2,G830TL,239370,680920
62,Longmorn,3,2,1,0,0,1,1,1,3,3,2,3,IV303SJ,322640,861040
63,Macallan,4,3,1,0,0,2,1,4,2,2,3,1,AB389RX,327710,844480
64,Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2,IV303SS,322640,861040
65,Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2,IV303TQ,322640,861040
66,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2,AB554AQ,332950,839850
67,Oban,2,2,2,2,0,0,2,0,2,2,2,0,PA345NH,185940,730190
68,OldFettercairn,1,2,2,0,1,2,2,1,2,3,1,1,AB301YE,370860,772900
69,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2,KW15BA,336730,950130
70,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2,IV125QY,286040,851320
71,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1,AB355TB,326140,794370
72,Scapa,2,2,1,1,0,2,1,1,2,2,2,2,KW151SE,342850,1008930
73,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2,AB387AG,326930,851430
74,Speyside,2,2,1,0,0,1,0,1,2,2,2,2,PH211NS,278740,800600
75,Springbank,2,2,2,2,0,2,2,1,2,1,0,1,PA286EJ,172280,620910
76,Strathisla,2,2,1,0,0,2,2,2,3,3,3,2,AB553BS,340754,848623
77,Strathmill,2,3,1,0,0,0,2,0,2,1,3,2,AB555DQ,342650,850500
78,Talisker,4,2,3,3,0,1,3,0,1,2,2,0,IV478SR,137950,831770
79,Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2,AB387RP,319210,841760
80,Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3,AB379JA,321180,826110
81,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2,IV170XB,265360,869120
82,Tobermory,1,1,1,0,0,1,0,0,1,2,2,2,PA756NR,150450,755070
83,Tomatin,2,3,2,0,0,2,2,1,1,2,0,1,IV137YT,279120,829630
84,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2,AB379AQ,315100,825560
85,Tormore,2,2,1,0,0,1,0,1,2,1,0,0,PH263LR,315180,834960
86,Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1,PH41QG,289690,708850
